depth,wavelength,luz
2.3,443,9.815623209529782e-4
2.3,510,0.0010800724812277107
2.3,683,1.0013282088984459e-5
2.35,443,9.761223278833389e-4
2.35,510,0.001075805293556475
2.35,683,9.937443956171498e-6
2.4,443,9.707637579613593e-4
2.4,510,0.0010715869006366033
2.4,683,9.863432563433855e-6
2.45,443,9.654852454538514e-4
2.45,510,0.001067416830311927
2.45,683,9.791318152560015e-6
2.5,443,9.60285520907438e-4
2.5,510,0.0010632946660501588
2.5,683,9.721173647183455e-6
2.55,443,9.55163408207838e-4
2.55,510,0.00105922005698131
2.55,683,9.65307365116263e-6
2.6,443,9.501178213034247e-4
2.6,510,0.0010551927058107882
2.6,683,9.587057066368151e-6
2.65,443,9.451477942807767e-4
2.65,510,0.0010512123857480753
2.65,683,9.523089697862172e-6
2.7,443,9.402525069909486e-4
2.7,510,0.001047278955661711
2.7,683,9.46106227836562e-6
2.75,443,9.354312975687832e-4
2.75,510,0.0010433923488799208
2.75,683,9.40074127247632e-6
2.8,443,9.306836990423793e-4
2.8,510,0.0010395525507257484
2.8,683,9.341588892392117e-6
2.85,443,9.26009505023533e-4
2.85,510,0.0010357596308200748
2.85,683,9.282294494893915e-6
2.9,443,9.214089067169787e-4
2.9,510,0.0010320137137010137
2.9,683,9.219739963568581e-6
2.95,443,9.168825835233076e-4
2.95,510,0.0010283149269803673
2.95,683,9.16251918993306e-6
3,443,9.12431848014201e-4
3,510,0.0010246634309046853
3,683,9.103121571261595e-6
3.05,443,9.080590700531073e-4
3.05,510,0.0010210594495656997
3.05,683,9.028617737166249e-6
3.1,443,9.037682520286004e-4
3.1,510,0.0010175032977352819
3.1,683,8.943752201493176e-6
3.1500000000000004,443,8.995657460922659e-4
3.1500000000000004,510,0.0010139954638148157
3.1500000000000004,683,8.852875019819827e-6
3.2,443,8.954601201700578e-4
3.2,510,0.0010105366829042807
3.2,683,8.754857753142908e-6
3.25,443,8.914554602327037e-4
3.25,510,0.001007127881979812
3.25,683,8.659704243478095e-6
3.3,443,8.875240264391196e-4
3.3,510,0.0010037695777574606
3.3,683,8.568112812212642e-6
3.35,443,8.835182567465886e-4
3.35,510,0.001000459253505887
3.35,683,8.481611853881307e-6
3.4000000000000004,443,8.79546663816627e-4
3.4000000000000004,510,9.971831709468188e-4
3.4000000000000004,683,8.398784332165203e-6
3.45,443,8.756120295227489e-4
3.45,510,9.939052812305833e-4
3.45,683,8.32087558986182e-6
3.5,443,8.717190103516568e-4
3.5,510,9.906478816225767e-4
3.5,683,8.249492707927751e-6
3.55,443,8.678499102187927e-4
3.55,510,9.87412497041e-4
3.55,683,8.18423336516644e-6
3.6,443,8.640077885768135e-4
3.6,510,9.842144853378426e-4
